source_city,connected_destinations,total_routes,avg_cost,min_cost,max_cost
Mumbai,90,450,2231.39,300.0,6973.0
Pune,90,450,2294.0,309.0,6928.0
Nagpur,90,450,2288.3,303.0,6959.0
Nashik,90,450,2254.14,304.0,6938.0
Aurangabad,90,450,2318.76,302.0,6991.0
Thane,90,450,2289.31,344.0,6979.0
Navi Mumbai,90,450,2312.44,304.0,6967.0
Kalyan,90,450,2326.23,303.0,6987.0
Dombivli,90,450,2267.72,329.0,6971.0
Amravati,90,450,2193.01,310.0,6982.0
Kolhapur,90,450,2297.8,322.0,6997.0
Solapur,90,450,2303.35,312.0,6977.0
Sangli,90,450,2286.08,311.0,6998.0
Satara,90,450,2301.62,332.0,6911.0
Ratnagiri,90,450,2249.19,341.0,6969.0
Sindhudurg,90,450,2226.05,359.0,6967.0
Latur,90,450,2270.14,314.0,6884.0
Osmanabad,90,450,2313.14,311.0,6942.0
Beed,90,450,2256.8,324.0,6998.0
Jalgaon,90,450,2329.34,306.0,6991.0
Dhule,90,450,2206.88,305.0,6939.0
Nanded,90,450,2258.53,304.0,6959.0
Parbhani,90,450,2180.43,300.0,6932.0
Akola,90,450,2318.81,314.0,6996.0
Buldhana,90,450,2197.44,300.0,6987.0
Yavatmal,90,450,2240.98,306.0,6930.0
Wardha,90,450,2308.12,338.0,6923.0
Chandrapur,90,450,2309.94,311.0,6871.0
Gondia,90,450,2266.14,300.0,6992.0
Bhandara,90,450,2338.31,314.0,6981.0
Raigad,90,450,2296.65,303.0,6900.0
Palghar,90,450,2232.19,300.0,6875.0
Vasai,90,450,2387.8,304.0,6997.0
Virar,90,450,2319.87,330.0,6900.0
Panvel,90,450,2257.12,318.0,6980.0
Alibaug,90,450,2309.27,302.0,6986.0
Shrirampur,90,450,2258.0,310.0,6991.0
Ahmednagar,90,450,2281.26,314.0,6966.0
Baramati,90,450,2300.26,315.0,6943.0
Karad,90,450,2266.83,329.0,6950.0
Miraj,90,450,2295.55,302.0,6956.0
Ichalkaranji,90,450,2268.5,309.0,6997.0
Hingoli,90,450,2326.42,320.0,6984.0
Washim,90,450,2257.05,307.0,6994.0
Malegaon,90,450,2239.81,306.0,6998.0
Bhusawal,90,450,2234.04,321.0,6982.0
Chalisgaon,90,450,2218.22,312.0,6937.0
Pandharpur,90,450,2252.45,305.0,6978.0
Udgir,90,450,2260.22,326.0,6959.0
Sangamner,90,450,2314.86,315.0,6924.0
